"","X","Section","research_center","site_type","name","site_name","country","state_region","zip","study_name","study_location","study_field_location","city","lat","lon","address"
"53",53,"Section 3 Partner Information","CREID-ESP","partners","La Jolla Institute for Immunology","","UYSA","CA","92037","","","","La Jolla",32.8328112,-117.2712717,"la jolla, san diego, ca, usa"
"54",54,"Section 3 Partner Information","CREID-ESP","partners","The University of Hong Kong","","Hong Kong","","0","","","","Pokfulam",22.2679201,114.1290719,"pok fu lam, hong kong"
"55",55,"Section 3 Partner Information","CREID-ESP","partners","Institute for Viral Disease Control and Prevention, China CDC","","China","","102206","","","","Beijing",39.9041999,116.4073963,"beijing, china"
"56",56,"Section 3 Partner Information","CREID-ESP","partners","Ethiopian Public Health Institute","","Ethiopia","","1242/5654","","","","Addis Ababa",8.9806034,38.7577605,"addis ababa, ethiopia"
"57",57,"Section 3 Partner Information","CREID-ESP","partners","Tribhuvan University","","Nepal","","44618","","","","Kirtipur",27.6630019,85.2774207,"kirtipur 44600, nepal"
"58",58,"Section 3 Partner Information","CREID-ESP","partners","National Public Health Laboratory, Nepal","","Nepal","","44600","","","","Kathmandu",27.7172453,85.3239605,"kathmandu 44600, nepal"
"59",59,"Section 3 Partner Information","CREID-ESP","partners","Sukraraj Tropical and Infectious Disease Hospital","","Nepal","","44600","","","","Kathmandu",27.7172453,85.3239605,"kathmandu 44600, nepal"
"60",60,"Section 3 Partner Information","CREID-ESP","partners","","","","","","","","","",NA,NA,""
"61",61,"Section 3 Partner Information","EID-SEARCH","partners","Conservation Medicine","","Malaysia","Selangor","47000","","","","Sungai Buloh",3.20933,101.5613392,"sungai buloh, selangor, malaysia"
"62",62,"Section 3 Partner Information","EID-SEARCH","partners","Duke-NUS Medical School","","Singapore","Singapore","169857","","","","Singapore",1.352083,103.819836,"singapore"
"63",63,"Section 3 Partner Information","EID-SEARCH","partners","Boston University National Emerging Infectious Diseases Laboratories","","United States","Massachusetts","2118","","","","Boston",42.3600825,-71.0588801,"boston, ma, usa"
"64",64,"Section 3 Partner Information","EID-SEARCH","partners","Uniformed Services University","","United States","Maryland","20814","","","","Bethesda",38.984652,-77.0947092,"bethesda, md, usa"
"65",65,"Section 3 Partner Information","EID-SEARCH","partners","Chulalongkorn University/Chulalongkorn University Hospital","","Thailand","Bangkok","10330","","","","Bangkok",13.7563309,100.5017651,"bangkok, thailand"
"66",66,"Section 3 Partner Information","EID-SEARCH","partners","University of North Carolina at Chapel Hill","","United States","North Carolina","27599","","","","Chapel Hill",35.9131996,-79.0558445,"chapel hill, nc, usa"
"67",67,"Section 3 Partner Information","WARN-ID","partners","The Scripps Research Institute","","United States","CA","92037","","","","La Jolla",32.8328112,-117.2712717,"la jolla, san diego, ca, usa"
"68",68,"Section 3 Partner Information","WARN-ID","partners","Tulane University","","United States","LA","70112","","","","New Orleans",29.9510658,-90.0715323,"new orleans, la, usa"
"69",69,"Section 3 Partner Information","WARN-ID","partners","The Broad Institute","","United States","MA","02142-1401","","","","Cambridge",42.373611,-71.110558,"77 Massachusetts Avenue Cambridge, MA 02139"
"70",70,"Section 3 Partner Information","WARN-ID","partners","Kenema Government Hospital","","Sierra Leone","Eastern Province","","","","","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"71",71,"Section 3 Partner Information","WARN-ID","partners","National Institute of Health Liberia","","Liberia","","1000","","","","Monrovia",6.300774,-10.79716,"Congo Town Back Road Monrovia, Liberia, 1000"
"72",72,"Section 3 Partner Information","WARN-ID","partners","Universite Cheikh Anta Diop","","Senegal","","0","","","","Dakar",14.716677,-17.4676861,"dakar, senegal"
"73",73,"Section 3 Partner Information","WARN-ID","partners","Redeemer's University","","Nigeria","Osun State","0","","","","Ede",7.730184,4.517348,"Redeemer's University, Ede, Osun State, Nigeria"
"74",74,"Section 3 Partner Information","CREID-ECA","partners","Institut National de la Recherche Biomédicale","","Democratic Republic of Congo","Kinshasa","Not applicable","","","","Kinshasa",-4.4419311,15.2662931,"kinshasa, democratic republic of the congo"
"75",75,"Section 3 Partner Information","CREID-ECA","partners","Uganda Virus Research Institute","","Uganda","Central Uganda","Not applicable","","","","Entebbe",0.0511839,32.463708,"entebbe, uganda"
"76",76,"Section 3 Partner Information","CREID-ECA","partners","Kenya Medical Research Institute","","Kenya","Nairobi","Not applicable","","","","Nairobi",-1.2920659,36.8219462,"nairobi, kenya"
"77",77,"Section 3 Partner Information","CREID-ECA","partners","Sokoine University of Agriculture","","Tanzania","Morogoro","Not applicable","","","","Morogoro",-6.8277556,37.6591144,"morogoro, tanzania"
"78",78,"Section 3 Partner Information","CREID-ECA","partners","Institute of Tropical Medicine Antwerp","","Belgium","Antwerp","Not applicable","","","","Antwerp",51.2194475,4.4024643,"antwerp, belgium"
"79",79,"Section 3 Partner Information","CREID-ECA","partners","Emory University","","USA","Georgia","30322","","","","Atlanta",33.7489954,-84.3879824,"atlanta, ga, usa"
"80",80,"Section 3 Partner Information","CREID-ECA","partners","Charité-Universitätsmedizin Berlin ","","Germany","Berlin","Not applicable","","","","Berlin",52.5200066,13.404954,"berlin, germany"
"81",81,"Section 3 Partner Information","CREID-ECA","partners","Washington University St Louis","","United States","Missouri","63130","","","","St. Louis",38.6270025,-90.1994042,"st. louis, mo, usa"
"82",82,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","The study of zoonotic arboviruses including identification and characterization of critical reservoir and amplification hosts, enzootic and epidemic vectors, temporal patterns of enzootic and epidemic circulation, levels of human exposure, immune responses and disease outcomes.","Institut Pasteur de Dakar, Senegal","Kedougou, Nenefecha, Bandafassi, Ngari (Senegal)","Kedougou",12.5604607,-12.1747077,"kedougou, senegal"
"83",83,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","The study of zoonotic arboviruses including identification and characterization of critical reservoir and amplification hosts, enzootic and epidemic vectors, temporal patterns of enzootic and epidemic circulation, levels of human exposure, immune responses and disease outcomes.","Institut Pasteur de Dakar, Senegal","Kedougou, Nenefecha, Bandafassi, Ngari (Senegal)","Bandafassi",12.5387162,-12.310599,"bandafassi, senegal"
"84",84,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Human surveillance of arbovirus infection in Sierra Leone and Nigeria","Kenema, Sierra Leone; Jos, Nigeria","Kenema Government Hospital, Sierra Leone; Jos University Teaching Hospital, Nigeria","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"85",85,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Human surveillance of arbovirus infection in Sierra Leone and Nigeria","Kenema, Sierra Leone; Jos, Nigeria","Kenema Government Hospital, Sierra Leone; Jos University Teaching Hospital, Nigeria","Jos",9.8965273,8.8583309,"jos, nigeria"
"86",86,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Vector surveillance at sites of human arbovirus exposure","Dakar, Senegal; Kenema, Sierra Leone; Jos, Nigeria","Dakar, Senegal; Kenema, Sierra Leone; Jos, Nigeria","Dakar",14.716677,-17.4676861,"dakar, senegal"
"87",87,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Vector surveillance at sites of human arbovirus exposure","Dakar, Senegal; Kenema, Sierra Leone; Jos, Nigeria","Dakar, Senegal; Kenema, Sierra Leone; Jos, Nigeria","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"88",88,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Vector surveillance at sites of human arbovirus exposure","Dakar, Senegal; Kenema, Sierra Leone; Jos, Nigeria","Dakar, Senegal; Kenema, Sierra Leone; Jos, Nigeria","Jos",9.8965273,8.8583309,"jos, nigeria"
"89",89,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Amplification reservoir/host studies in Senegal","Institut Pasteur de Dakar, Senegal","Kedougou region, Senegal","Kedougou",12.5604607,-12.1747077,"kedougou, senegal"
"90",90,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Vector-vertabrate interactions","Institut Pasteur de Dakar, Senegal","Kedougou, Senegal","Kedougou",12.5604607,-12.1747077,"kedougou, senegal"
"91",91,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Vector ecology and capacity in urban and suburban W. African spaces","Institute Pasteur de Dakar, Senegal; Njala University, Sierra Leone; Jos University, Nigeria","Kedougou, Senegal; Freetown, Sierra Leone; Jos, Nigeria","Kedougou",12.5604607,-12.1747077,"kedougou, senegal"
"92",92,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Vector ecology and capacity in urban and suburban W. African spaces","Institute Pasteur de Dakar, Senegal; Njala University, Sierra Leone; Jos University, Nigeria","Kedougou, Senegal; Freetown, Sierra Leone; Jos, Nigeria","Freetown",8.4656765,-13.2317225,"freetown, sierra leone"
"93",93,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Vector ecology and capacity in urban and suburban W. African spaces","Institute Pasteur de Dakar, Senegal; Njala University, Sierra Leone; Jos University, Nigeria","Kedougou, Senegal; Freetown, Sierra Leone; Jos, Nigeria","Jos",9.8965273,8.8583309,"jos, nigeria"
"94",94,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Enzootic amplification host competence","Insitut Pasteur de Dakar, Senegal","Kedougou, Senegal","Kedougou",12.5604607,-12.1747077,"kedougou, senegal"
"95",95,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Modeling of arbovirus transmission and human exposure","Institut Pasteur de Dakar, Senegal ","Kedougou, Senegal","Kedougou",12.5604607,-12.1747077,"kedougou, senegal"
"96",96,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Human surveillance of febrile illnesses in Sierra Leone and Nigeria","Kenema Government Hospital, Sierra Leone and Jos University Teaching Hospital, Nigeria","Kenema, Sierra Leone and Jos, Nigeria","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"97",97,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Human surveillance of febrile illnesses in Sierra Leone and Nigeria","Kenema Government Hospital, Sierra Leone and Jos University Teaching Hospital, Nigeria","Kenema, Sierra Leone and Jos, Nigeria","Jos",9.8965273,8.8583309,"jos, nigeria"
"98",98,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Rodent and feline surveillance in Nigeria and Sierra Leone","Njala University, Sierra Leone and Jos University, Nigeria","Plateau State, Nigeria and Kenema, Sierra Leone","Jos",9.8965273,8.8583309,"jos, nigeria"
"99",99,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Rodent and feline surveillance in Nigeria and Sierra Leone","Njala University, Sierra Leone and Jos University, Nigeria","Plateau State, Nigeria and Kenema, Sierra Leone","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"100",100,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Characterization of LASV isolates from rodents and humans","Galveston, TX","Plateau State, Nigeria and Kemena, Sierra Leone","Jos",9.8965273,8.8583309,"jos, nigeria"
"101",101,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Characterization of LASV isolates from rodents and humans","Galveston, TX","Plateau State, Nigeria and Kemena, Sierra Leone","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"102",102,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Bat surveillance in Sierra Leone","Njala University and Kenema Government Hospital","Bo and Kenema, Sierra Leone","Bo",7.96472,-11.73833,"Bo, Sierra Leone"
"103",103,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Bat surveillance in Sierra Leone","Njala University and Kenema Government Hospital","Bo and Kenema, Sierra Leone","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"104",104,"Section 3.3 CREID-Funded Research Center Studies","WAC-EID","studies","","","","","","Human surveillance of filoviruses in Nigeria and Sierra Leone","Plat","Kemena, Sierra Leone and ","Kenema",7.8632147,-11.1957172,"kenema, sierra leone"
"105",105,"Section 3.3 CREID-Funded Research Center Studies","EEIDI","studies","","","","","","EpiCenter for Emerging Infectious Disease Intelligence Research Study","Across all research sites","Uganda and Peru","Biwindi",-1.0521495,29.6201006,"bwindi impenetrable forest, uganda"
"106",106,"Section 3.3 CREID-Funded Research Center Studies","EEIDI","studies","","","","","","EpiCenter for Emerging Infectious Disease Intelligence Research Study","Across all research sites","Uganda and Peru","Iquitos",-3.7436735,-73.2516326,"iquitos, peru"
"107",108,"Section 3.3 CREID-Funded Research Center Studies","CREATE-NEO","studies","","","","","","Development of flavivirus rapid diagnostics","Cambridge, Massachusetts","Panama, Brazil","Panama City",8.983333,-79.51667,""
"108",112,"Section 3.3 CREID-Funded Research Center Studies","CREATE-NEO","studies","","","","","","Development of flavivirus rapid diagnostics","Cambridge, Massachusetts","Panama, Brazil","S�o Jos� do Rio Preto",-20.817947,-49.3578076,"s�o jos� do rio preto - state of s�o paulo, brazil"
"109",115,"Section 3.3 CREID-Funded Research Center Studies","CREATE-NEO","studies","","","","","","Predicting zoonotic capacity of SARS-CoV-2 in mammals","Cary Institute of Ecosystem Studies Box AB Millbrook, NY 12571","No samples or field work; data collected via web (Millbrook, NY)","",NA,NA,""
"110",116,"Section 3.3 CREID-Funded Research Center Studies","CREATE-NEO","studies","","","","","","Investigating the ecology and behavior of potential bridge vectors of mosquito-borne viruses in fragmented and contiguous rainforest bordering the city of Manaus. ","University of Texas Medical Branch, 301 University Blvd, Galveston, TX-77550, USA","Manaus, Amazonas State, Brazil, hosted by the Fundação de Medicina Tropical","Manaus",-3.1190275,-60.0217314,"manaus, state of amazonas, brazil"
"111",117,"Section 3.3 CREID-Funded Research Center Studies","CREATE-NEO","studies","","","","","","Gorgas Memorial Institute of Health Studies Panama","Av. Justo Arosemena between 35 and 36 street, Panama","Gorgas Memorial Institute of Health Studies Panama, Av Justo Arosemena between 35 and 36 street","Panama City",8.983333,-79.51667,""
"112",118,"Section 3.3 CREID-Funded Research Center Studies","CREATE-NEO","studies","","","","","","Zika Virus Spillback into nonhuman primates ","Manaus Brazil","Manaus Brazil","Manaus",-3.1190275,-60.0217314,"manaus, state of amazonas, brazil"
"113",119,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","UWARN COVID-19 in Washington","750 Republican St. , Seattle, WA, USA 98109","Seattle, WA (greater Seattle area)","Seattle",47.6062095,-122.3320708,"seattle, wa, usa"
"114",120,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Surveillance, arboviruses, SARS-CoV-2, and emerging viruses","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","Seattle",47.6062095,-122.3320708,"seattle, wa, usa"
"115",121,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Surveillance, arboviruses, SARS-CoV-2, and emerging viruses","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","Rio de Janeiro",-22.9068467,-43.1728965,"rio de janeiro, state of rio de janeiro, brazil"
"116",122,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Surveillance, arboviruses, SARS-CoV-2, and emerging viruses","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","Salvador",13.794185,-88.89653,"el salvador"
"117",123,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Surveillance, arboviruses, SARS-CoV-2, and emerging viruses","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","Minas Gerais",-17.930178,-43.7908453,"state of minas gerais, brazil"
"118",124,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Surveillance, arboviruses, SARS-CoV-2, and emerging viruses","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","Taipei",25.0329694,121.5654177,"taipei, taiwan"
"119",125,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Surveillance, arboviruses, SARS-CoV-2, and emerging viruses","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","Durban",-29.8586804,31.0218404,"durban, south africa"
"120",126,"Section 3.3 CREID-Funded Research Center Studies","UWARN","studies","","","","","","Surveillance, arboviruses, SARS-CoV-2, and emerging viruses","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","UW (Seattle WA), Fiocruz (Rio de Janeiro, Salvador, and Minas Gerais, Brazil), RCEVI (Taipei, Taiwan), KRISP (Durban RSA), IRESSEF (Dakar, Senegal), AKU (Karachi, Pakistan) ","Dakar",14.716677,-17.4676861,"dakar, senegal"
